state,place,date,confirmed,tested,daily_confirmed,daily_tested,tpr,text
Chhattisgarh,ct,2020-04-17,36,5776,0,257,0,Date: Apr 17<br>TPR:    0.00%
Delhi,dl,2020-04-17,1707,21409,67,2625,0.0255238095238095,Date: Apr 17<br>TPR:    2.55%
Goa,ga,2020-04-17,7,673,0,62,0,Date: Apr 17<br>TPR:    0.00%
Gujarat,gj,2020-04-17,1099,23483,170,2580,0.0658914728682171,Date: Apr 17<br>TPR:    6.59%
Himachal Pradesh,hp,2020-04-17,38,1992,3,388,0.0077319587628866,Date: Apr 17<br>TPR:    0.77%
Haryana,hr,2020-04-17,223,8884,8,820,0.00975609756097561,Date: Apr 17<br>TPR:    0.98%
Jharkhand,jh,2020-04-17,32,3143,3,809,0.00370828182941904,Date: Apr 17<br>TPR:    0.37%
Jammu and Kashmir,jk,2020-04-17,328,6438,14,758,0.0184696569920844,Date: Apr 17<br>TPR:    1.85%
Karnataka,ka,2020-04-17,359,17594,44,3870,0.0113695090439276,Date: Apr 17<br>TPR:    1.14%
Kerala,kl,2020-04-17,396,18029,1,629,0.00158982511923688,Date: Apr 17<br>TPR:    0.16%
Maharashtra,mh,2020-04-17,3321,55678,120,4796,0.0250208507089241,Date: Apr 17<br>TPR:    2.50%
Meghalaya,ml,2020-04-17,9,617,0,65,0,Date: Apr 17<br>TPR:    0.00%
Manipur,mn,2020-04-17,2,311,0,35,0,Date: Apr 17<br>TPR:    0.00%
Madhya Pradesh,mp,2020-04-17,1310,15302,146,1810,0.0806629834254144,Date: Apr 17<br>TPR:    8.07%
Odisha,or,2020-04-17,60,7577,0,843,0,Date: Apr 17<br>TPR:    0.00%
Punjab,pb,2020-04-17,211,5988,14,464,0.0301724137931035,Date: Apr 17<br>TPR:    3.02%
Rajasthan,rj,2020-04-17,1229,42847,98,2069,0.0473658772353794,Date: Apr 17<br>TPR:    4.74%
Tamil Nadu,tn,2020-04-17,1323,29673,56,3668,0.0152671755725191,Date: Apr 17<br>TPR:    1.53%
India,tt,2020-04-17,14354,335123,922,32167,0.028662915410203,Date: Apr 17<br>TPR:    2.87%
Uttar Pradesh,up,2020-04-17,849,24643,44,3259,0.0135010739490641,Date: Apr 17<br>TPR:    1.35%
Uttarakhand,ut,2020-04-17,40,2831,3,238,0.0126050420168067,Date: Apr 17<br>TPR:    1.26%
West Bengal,wb,2020-04-17,255,4212,24,401,0.0598503740648379,Date: Apr 17<br>TPR:    5.99%
